Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Cocktail	Kentucky Summer	f2AAGFtyzg	FALSE	Buffalo Trace bourbon, St-Germain elderflower liqueur, mint leaves, mango and lime juice	Schooner Bar	FALSE
Cocktail	Kentucky Summer	f2AAGFtyzg	FALSE	Buffalo Trace bourbon, St-Germain elderflower liqueur, mint leaves, mango and lime juice	Schooner Bar	FALSE
Cocktail	Kentucky Summer	f2AAGFtyzg	FALSE	Buffalo Trace bourbon, St-Germain elderflower liqueur, mint leaves, mango and lime juice	The Overlook Bar	FALSE
Cocktail	Kentucky Summer	f2AAGFtyzg	FALSE	Buffalo Trace bourbon, St-Germain elderflower liqueur, mint leaves, mango and lime juice	Trellis Bar	FALSE
Cocktail	Kettle One Espresso Martini	PMRAY5plCB	FALSE	Ketel One vodka, Kahlúa, cold brew coffee and simple syrup	Rye and Bean	TRUE
White Wine	Kim Crawford Sauvignon Blanc	XcTAs3J20p	FALSE	Marlborough, New Zealand	Schooner Bar	FALSE
White Wine	Kim Crawford Sauvignon Blanc	XcTAs3J20p	FALSE	Marlborough, New Zealand	The Overlook Bar	FALSE
White Wine	Kim Crawford Sauvignon Blanc	XcTAs3J20p	FALSE	Marlborough, New Zealand	Trellis Bar	FALSE
White Wine	Kim Crawford, Sauvignon Blanc	xJgLbYNhdD	FALSE	Marlborough, New Zealand	1400 Lobby Bar	FALSE
White Wine	Kim Crawford, Sauvignon Blanc	xJgLbYNhdD	FALSE	Marlborough, New Zealand	Aquadome Market Bar	FALSE
White Wine	Kim Crawford, Sauvignon Blanc	xJgLbYNhdD	FALSE	Marlborough, New Zealand	Dueling Pianos	FALSE
White Wine	Kim Crawford, Sauvignon Blanc	xJgLbYNhdD	FALSE	Marlborough, New Zealand	Music Hall	FALSE
Cocktail	Knockout Punch	C6LsvDuLHh	FALSE	Light rum, pineapple juice, orange juice, grenadine and a dark rum float	Playmakers Sports Bar	TRUE
Rum	Kraken	NRXcPf5GGr	FALSE	—	The Overlook Bar	TRUE
Beer	Lagunitas Island Beats	z2fmvEQUvW	FALSE	American tropical IPA 5% ABV	Playmakers Sports Bar	TRUE
Cocktail	Lavender Daiquiri	qUL8zmzhDb	FALSE	Bacardi Superior rum, lavender syrup and lemon juice	Schooner Bar	FALSE
Cocktail	Lavender Daiquiri	qUL8zmzhDb	FALSE	Bacardi Superior rum, lavender syrup and lemon juice	Schooner Bar	FALSE
Rum	Leblon Cachaça	p8Bb7XAH3i	FALSE	—	The Overlook Bar	TRUE
Beer	Leffe Blonde	zi4CY8e6XN	FALSE	Belgium, Belgian white	Point and Feather Pub	TRUE
Zero Proof	Lifesaver Lemonade	ZA94zJveMX	FALSE	Coconut water, lemon juice, coconut syrup, orgeat, fresh pineapple and house-made lemonade	The Lemon Post Bar	TRUE
Cocktail	Lime & Coconut	aeKAADbrzS	FALSE	Malibu Coconut rum, coconut milk, coconut syrup, guava syrup and lime juice	The Lime and Coconut Bars	TRUE
Cocktail	Limoncello & Tonic	DA17aekr3i	FALSE	Limoncello, St-Germain elderflower liqueur, lemon juice and tonic	Point and Feather Pub	FALSE
Cocktail	Limoncello & Tonic	DA17aekr3i	FALSE	Limoncello, St-Germain elderflower liqueur, lemon juice and tonic	Swim n Tonic	FALSE
Sparkling Wine	Living Coral Sparkling Rosé	wQOMMUEbjs	FALSE	Sparkling Rosé	Bubbles	TRUE
Cocktail	Living Garden	HCb19WicBf	FALSE	Ketel One Botanical Grapefruit & Rose vodka, Aperol, honey syrup, lemon and orange juice	1400 Lobby Bar	TRUE
Whiskey & Bourbon	Maker’s Mark	orIUFX2Edr	FALSE	—	Aquadome Market Bar	FALSE
Whiskey & Bourbon	Maker’s Mark	orIUFX2Edr	FALSE	—	Music Hall	FALSE
Whiskey & Bourbon	Maker’s Mark	orIUFX2Edr	FALSE	—	The Overlook Bar	FALSE
Whiskey & Bourbon	Maker’s Mark	orIUFX2Edr	FALSE	—	Trellis Bar	FALSE
Rum	Malibu	AJt9eCPIwU	FALSE	—	The Overlook Bar	FALSE
Rum	Malibu	AJt9eCPIwU	FALSE	—	Music Hall	FALSE
Cocktail	Merlon Ball Smash	3oQLEQ7soH	TRUE	Midori, vodka, fresh orange and lemon juice, simple syrup and club soda served in a souvenir helmet	Playmakers Sports Bar	TRUE
Red Wine	Wolf Blass Yellow Label Merlot	EcAqjFrC4D	FALSE	Wolf Blass Yellow Label, South Australia	Playmakers Sports Bar	TRUE
Cocktail	Metalliquor 1	ba5wh4oAVk	FALSE	Malibu Coconut rum, raspberry liqueur and pineapple juice topped with cranberry juice	Dueling Pianos	TRUE
Cocktail	Metalliquor 2	5HKlSm2N5S	FALSE	Vanilla vodka and raspberry liqueur topped with cranberry juice	Music Hall	TRUE
Cocktail	Metalliquor 3	yP0YbDsORE	FALSE	Vanilla vodka, raspberry liqueur and pineapple juice topped with cranberry juice	Spotlight Karaoke	TRUE
