Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Cocktail	Pretty n Pink	3InHipKILL	FALSE	Beefeater Pink gin, lime juice, pineapple juice and guava syrup	Aquadome Market Bar	FALSE
Cocktail	Pretty n Pink	3InHipKILL	FALSE	Beefeater Pink gin, lime juice, pineapple juice and guava syrup	Point and Feather Pub	FALSE
Cocktail	Pretty n Pink	3InHipKILL	FALSE	Beefeater Pink gin, lime juice, pineapple juice and guava syrup	The Overlook Bar	FALSE
Cocktail	Pretty n Pink	3InHipKILL	FALSE	Beefeater Pink gin, lime juice, pineapple juice and guava syrup	Trellis Bar	FALSE
Sparkling Wine	Prosecco	RzXHyvod7A	FALSE	Ruffino, Veneto, Italy	Cantina Fresca	FALSE
Sparkling Wine	Prosecco	RzXHyvod7A	FALSE	Ruffino, Veneto, Italy	Playmakers Sports Bar	FALSE
Sparkling Wine	Prosecco	RzXHyvod7A	FALSE	Ruffino, Veneto, Italy	The Lime and Coconut Bars	FALSE
Red Wine	Psagot Cabernet Sauvignon	rXA4o01eBv	FALSE	Kosher	Music Hall	TRUE
White Wine	Psagot Chardonnay	QBaT9g4xMB	FALSE	Kosher	Music Hall	TRUE
Red Wine	Psagot Sinai	RBXRVxBXhY	FALSE	Kosher	Music Hall	TRUE
